time_utc,tx_hash,token,symbol,name,bnb_amount,usd_amount,token_amount,trade_fdv_usd,trade_fdv_bucket,state_pool_bnb_after,state_pool_token_after,approx_pool_liquidity_usd_after,trade_volume_usd,bnb_price_usd
2026-01-26 11:14:34,0x65683bd547ca6878e609b60e8f138a308b02a5ab2eda83a25ab969f4b1063533,0xee509a4a3c4c310d5230c773340cd341d7624444,,,0.3,263.58,25348524.602308627,10398.238324923823,0-50k,2.747480968682908,468899894.39513665,4827.873558169606,263.58,878.6
2026-01-26 11:16:29,0xdafcf72e175551b13391a1973b6e9aaf99a3aed5b3aa947f117c713fdf6dd9b4,0x8e5d4fb9d10fa487567b67887bf376dabff24444,,,0.5,439.3,14388768.382480772,30530.75762445904,0-50k,9.099262379120379,159762501.1315931,15989.22385259033,439.3,878.6
2026-01-26 11:23:32,0x761c684395ec32dddb0810d2603018d9b36b6b468a0225cf34a2c7117c380b37,0x5a33acc331726944bc7d68a6c748cd54f0254444,,,0.3,263.58,37603663.612014964,7009.4234093664745,0-50k,1.1793650495049506,627525992.65377,2072.380264990099,263.58,878.6
2026-01-26 11:42:46,0x9e3d175443f706ad1f1263662a35ddcb9ee33d684de4bab2234a42ae1f32a5f7,0xfc72a6518bdb27e35d69287799f6cdee620a4444,,,0.5,439.3,68147794.35880905,6446.283465712993,0-50k,0.9851485148514851,652015138.4236963,1731.1029702970297,439.3,878.6
2026-01-26 11:44:13,0xb78c6f016dc9f390fe957d3222422cc7d194eeb2f6de5fd5ca8de4755ccbb4e8,0x9fda85bf3c06c4f375c3cfb554a17ea931c84444,,,0.3,263.58,48899053.09603121,5390.288427106431,0-50k,0.29405940594059404,751100946.9039688,516.7211881188118,263.58,878.6
2026-01-26 11:44:29,0x8f6adffbdf1639d29c6e6daefb0052d118de44236a5dc5653338f8ef9a6ba188,0xe003148242881fc21e15a8a8110f1ad5fbd74444,,,0.3,263.58,48899053.09558422,5390.288427155705,0-50k,0.2940594059694251,751100946.8993927,516.7211881694737,263.58,878.6
2026-01-26 11:54:49,0xcbbb07e1525aeee8637e78e216ac76b298c716d0145705cc7eb0690ac062dad6,0x8391406badfe1cd06d8523396e26996f75214444,,,0.3,263.58,20074273.943827543,13130.238271010834,0-50k,3.8315396539296795,388335311.6913398,6732.781479885233,263.58,878.6
2026-01-26 12:33:12,0xbc8a95211bf37b831b6ec48e541ea0d0d974109aa5adce5468af995622e7db1a,0x434adc0fbec0e7eff3b656d6399ba7a0c4564444,Hacker,capital killer,1.0,878.6,12416911.290315213,70758.33751709892,50k-100k,,,,878.6,878.6
2026-01-26 14:59:03,0x27dd4a31ba898aa56b8d06d236ceec4633dd1fcecc2900ceabc6b6b481245d39,0x61e138e17217ffe6894d5a27be4a0d9190134444,,,0.3,263.58,43125494.32495743,6111.92994134474,0-50k,0.703057934865411,690051489.970637,1235.4134031455003,263.58,878.6
2026-01-27 02:32:22,0x9091dc9329e02a6d2221b93c5df5fa4ebe2a615ba052206dfa975470468b7c34,0x987e6269c6b7ea6898221882f11ea16f87b97777,HODLAI,"HODL AI, Use AI Free",0.5,448.355,2300871.8234596825,194863.09294962618,100k-200k,,,,448.355,896.71
2026-01-27 04:14:58,0xad85554bddbf6935bd612cb6ed30567174f349cb7170cda8449b290d564d90bf,0x3ae3daf48da1179e87493e5b2a94b7b3f8be4444,,,0.3,269.013,48079889.03689798,5595.12522571654,0-50k,0.34756894018245804,742677788.3819851,623.337088702024,269.013,896.71
